ablation,seed,episode,total_return,episode_length,termination_reason,loss,epsilon
buffer_500k,0,0,-75.066,59,crash,0.0,1.0
buffer_500k,0,1,-138.55,112,crash,99.27447,0.995
buffer_500k,0,2,-201.94,86,crash,75.164397,0.99
buffer_500k,0,3,-250.103,110,crash,59.499829,0.9851
buffer_500k,0,4,-351.174,128,crash,57.671956,0.9801
buffer_500k,1,0,-248.663,111,crash,4.927976,1.0
buffer_500k,1,1,-295.337,109,crash,38.534844,0.995
buffer_500k,1,2,-21.371,98,crash,48.097444,0.99
buffer_500k,1,3,-188.557,112,crash,57.815394,0.9851
buffer_500k,1,4,-127.969,114,crash,56.160395,0.9801
buffer_500k,2,0,-383.029,90,crash,7.451851,1.0
buffer_500k,2,1,-204.781,96,crash,64.066552,0.995
buffer_500k,2,2,-240.937,124,crash,50.484713,0.99
buffer_500k,2,3,-378.521,125,crash,50.213111,0.9851
buffer_500k,2,4,-342.169,91,out-of-view,65.362524,0.9801
buffer_500k,3,0,-142.197,97,crash,7.424736,1.0
buffer_500k,3,1,-111.45,115,crash,71.327143,0.995
buffer_500k,3,2,-268.125,129,crash,74.990704,0.99
buffer_500k,3,3,-197.062,132,crash,46.073847,0.9851
buffer_500k,3,4,-97.407,90,crash,42.785294,0.9801
buffer_500k,4,0,-236.188,108,crash,7.449721,1.0
buffer_500k,4,1,-70.217,123,crash,39.684723,0.995
buffer_500k,4,2,-184.851,135,crash,29.628841,0.99
buffer_500k,4,3,-236.69,84,crash,33.206122,0.9851
buffer_500k,4,4,-281.226,62,crash,52.179487,0.9801
