ablation,seed,episode,total_return,episode_length,termination_reason,loss,epsilon
obs_no_norm,0,0,-65.513,67,sleep,60.254162,1.0
obs_no_norm,0,1,-164.414,120,crash,73.348682,0.995
obs_no_norm,0,2,-132.864,114,crash,72.535932,0.99
obs_no_norm,0,3,-136.202,86,crash,58.694604,0.9851
obs_no_norm,0,4,-109.765,113,crash,84.136078,0.9801
obs_no_norm,1,0,-99.706,102,crash,10.391164,1.0
obs_no_norm,1,1,-128.704,108,crash,90.921773,0.995
obs_no_norm,1,2,-200.776,91,crash,102.05765,0.99
obs_no_norm,1,3,-243.416,110,crash,100.498459,0.9851
obs_no_norm,1,4,-245.023,125,crash,73.033771,0.9801
obs_no_norm,2,0,-174.137,109,crash,2.223178,1.0
obs_no_norm,2,1,-252.623,91,crash,50.482369,0.995
obs_no_norm,2,2,-239.282,101,crash,36.288285,0.99
obs_no_norm,2,3,-134.38,133,sleep,19.512696,0.9851
obs_no_norm,2,4,-169.942,102,out-of-view,34.53802,0.9801
obs_no_norm,3,0,-97.217,84,crash,10.553775,1.0
obs_no_norm,3,1,-86.918,107,sleep,61.2178,0.995
obs_no_norm,3,2,-85.554,130,crash,46.059552,0.99
obs_no_norm,3,3,-410.955,84,out-of-view,20.417536,0.9851
obs_no_norm,3,4,-73.074,89,sleep,30.557966,0.9801
obs_no_norm,4,0,-91.045,109,sleep,6.640958,1.0
obs_no_norm,4,1,-302.63,120,crash,55.605229,0.995
obs_no_norm,4,2,-332.317,94,out-of-view,69.357676,0.99
obs_no_norm,4,3,-254.978,81,crash,67.398738,0.9851
obs_no_norm,4,4,-154.086,74,crash,81.909594,0.9801
