ablation,seed,episode,total_return,episode_length,termination_reason,loss,epsilon
obs_norm,0,0,-141.828,65,crash,159.42923,1.0
obs_norm,0,1,-106.998,133,crash,43.279237,0.995
obs_norm,0,2,-242.652,90,crash,33.075511,0.99
obs_norm,0,3,-364.127,95,crash,39.108118,0.9851
obs_norm,0,4,-244.175,110,crash,48.668851,0.9801
obs_norm,1,0,-360.511,111,crash,4.499396,1.0
obs_norm,1,1,-228.357,98,crash,40.948727,0.995
obs_norm,1,2,-192.245,100,crash,40.74383,0.99
obs_norm,1,3,-179.318,122,crash,34.224558,0.9851
obs_norm,1,4,-86.143,123,sleep,32.043657,0.9801
obs_norm,2,0,-186.819,105,crash,7.057351,1.0
obs_norm,2,1,-77.705,108,sleep,29.844863,0.995
obs_norm,2,2,-112.347,121,crash,29.948142,0.99
obs_norm,2,3,-363.663,121,crash,27.039034,0.9851
obs_norm,2,4,-391.835,92,out-of-view,46.593823,0.9801
obs_norm,3,0,-178.717,88,crash,8.297514,1.0
obs_norm,3,1,-313.708,101,crash,48.978616,0.995
obs_norm,3,2,-94.079,122,crash,38.180257,0.99
obs_norm,3,3,-365.039,90,out-of-view,28.758941,0.9851
obs_norm,3,4,-108.352,76,sleep,40.98871,0.9801
obs_norm,4,0,-216.576,99,crash,7.747768,1.0
obs_norm,4,1,-358.303,123,crash,35.879845,0.995
obs_norm,4,2,-163.482,122,crash,23.996757,0.99
obs_norm,4,3,-86.834,97,sleep,31.675337,0.9851
obs_norm,4,4,-181.296,71,crash,29.416859,0.9801
