ablation,seed,episode,total_return,episode_length,termination_reason,loss,epsilon
target_soft,0,0,-171.379,69,crash,99.508974,1.0
target_soft,0,1,-95.995,118,crash,83.900944,0.995
target_soft,0,2,-191.592,98,crash,46.961055,0.99
target_soft,0,3,-71.822,108,sleep,45.534404,0.9851
target_soft,0,4,-14.212,129,sleep,29.595696,0.9801
target_soft,1,0,-215.591,128,crash,4.34698,1.0
target_soft,1,1,-398.497,109,crash,56.660875,0.995
target_soft,1,2,-211.972,98,crash,55.442127,0.99
target_soft,1,3,-94.678,110,crash,53.772372,0.9851
target_soft,1,4,-302.824,126,crash,73.696829,0.9801
target_soft,2,0,-311.976,96,crash,9.595847,1.0
target_soft,2,1,-206.852,98,crash,70.900758,0.995
target_soft,2,2,-42.361,130,crash,70.572984,0.99
target_soft,2,3,-91.904,120,crash,63.768205,0.9851
target_soft,2,4,-316.533,88,out-of-view,71.415955,0.9801
target_soft,3,0,-127.767,92,crash,8.628763,1.0
target_soft,3,1,-127.068,92,crash,75.389897,0.995
target_soft,3,2,-136.373,121,crash,76.667374,0.99
target_soft,3,3,-171.741,103,out-of-view,17.942487,0.9851
target_soft,3,4,-146.57,83,crash,26.259271,0.9801
target_soft,4,0,-79.524,117,sleep,5.718148,1.0
target_soft,4,1,-124.097,155,crash,55.049235,0.995
target_soft,4,2,-422.333,84,out-of-view,64.357588,0.99
target_soft,4,3,-304.65,76,crash,49.194492,0.9851
target_soft,4,4,-143.366,75,crash,53.081254,0.9801
