Id;SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
1;5.1;3.5;1.4;0.2;Iris-setosa
2;6.6;2.9;4.6;1.3;Iris-versicolor
3;5.7;2.5;5.0;2.0;Iris-virginica
4;6.4;3.2;5.3;2.3;Iris-virginica
5;6.1;2.8;4.7;1.2;Iris-versicolor
6;5.2;3.4;1.4;0.2;Iris-setosa
7;6.7;3.3;5.7;2.1;Iris-virginica
8;4.7;3.2;1.6;0.2;Iris-setosa
9;5.7;3.0;4.2;1.2;Iris-versicolor
10;5.7;2.6;3.5;1.0;Iris-versicolor
11;4.4;3.0;1.3;0.2;Iris-setosa
12;4.9;3.1;1.5;0.1;Iris-setosa
13;4.8;3.4;1.6;0.2;Iris-setosa
14;5.5;4.2;1.4;0.2;Iris-setosa
15;7.3;2.9;6.3;1.8;Iris-virginica
16;6.5;3.0;5.8;2.2;Iris-virginica
17;7.2;3.0;5.8;1.6;Iris-virginica
18;6.0;2.9;4.5;1.5;Iris-versicolor
19;5.0;3.3;1.4;0.2;Iris-setosa
20;5.6;2.7;4.2;1.3;Iris-versicolor
21;5.9;3.0;4.2;1.5;Iris-versicolor
22;6.0;2.2;5.0;1.5;Iris-virginica
23;4.9;3.1;1.5;0.1;Iris-setosa
24;6.7;3.1;4.7;1.5;Iris-versicolor
25;6.2;2.9;4.3;1.3;Iris-versicolor
26;7.2;3.2;6.0;1.8;Iris-virginica
27;5.0;2.3;3.3;1.0;Iris-versicolor
28;7.2;3.6;6.1;2.5;Iris-virginica
29;5.2;4.1;1.5;0.1;Iris-setosa
30;5.1;3.5;1.4;0.3;Iris-setosa
31;6.9;3.9;4.9;0.4;Iris-virginica
32;5.1;3.4;1.5;0.2;Iris-setosa
33;5.5;2.5;4.0;1.3;Iris-versicolor
34;6.5;3.0;5.5;1.8;Iris-virginica
35;6.1;3.0;4.9;1.8;Iris-virginica
36;7.4;2.8;6.1;1.9;Iris-virginica
37;6.9;3.1;5.1;2.3;Iris-virginica
38;4.7;3.2;1.3;0.2;Iris-setosa
39;6.9;3.2;5.7;2.3;Iris-virginica
40;6.7;3.1;4.4;1.4;Iris-versicolor
41;6.3;3.3;6.0;2.5;Iris-virginica
42;6.2;3.4;5.4;2.3;Iris-virginica
43;6.3;2.5;5.0;1.9;Iris-virginica
44;5.8;4.0;1.2;0.2;Iris-setosa
45;4.4;2.9;1.4;0.2;Iris-setosa
46;7.1;3.0;5.9;2.1;Iris-virginica
47;6.4;2.8;5.6;2.1;Iris-virginica
48;5.2;2.7;3.9;1.4;Iris-versicolor
49;5.0;3.6;1.4;0.2;Iris-setosa
50;6.7;3.0;5.0;1.7;Iris-versicolor
51;5.1;2.5;3.0;1.1;Iris-versicolor
52;4.8;3.0;1.4;0.3;Iris-setosa
53;6.3;2.3;4.4;1.3;Iris-versicolor
54;7.9;3.8;6.4;2.0;Iris-virginica
55;5.0;3.4;1.6;0.4;Iris-setosa
56;4.8;3.1;1.6;0.2;Iris-setosa
57;5.7;2.8;4.5;1.3;Iris-versicolor
58;6.0;2.7;5.1;1.6;Iris-versicolor
59;6.4;2.8;5.6;2.2;Iris-virginica
60;5.6;2.8;4.9;2.0;Iris-virginica
61;4.9;3.1;1.5;0.1;Iris-setosa
62;5.5;2.4;3.8;1.1;Iris-versicolor
63;5.9;3.2;4.8;1.8;Iris-versicolor
64;5.0;3.2;1.2;0.2;Iris-setosa
65;7.6;3.0;6.6;2.1;Iris-virginica
66;7.7;2.8;6.7;2.0;Iris-virginica
67;5.4;3.7;1.5;0.2;Iris-setosa
68;5.8;2.7;3.9;1.2;Iris-versicolor
69;6.6;3.0;4.4;1.4;Iris-versicolor
70;6.4;3.1;5.5;1.8;Iris-virginica
71;5.5;3.5;1.3;0.2;Iris-setosa
72;5.8;2.7;5.1;1.9;Iris-virginica
73;6.3;2.5;4.9;1.5;Iris-versicolor
74;5.6;3.0;4.5;1.5;Iris-versicolor
75;5.7;2.8;4.1;1.3;Iris-versicolor
76;5.0;3.5;1.3;0.3;Iris-setosa
77;4.6;3.6;1.0;0.2;Iris-setosa
78;6.9;3.1;5.4;2.1;Iris-virginica
79;5.6;2.9;3.6;1.3;Iris-versicolor
80;4.9;3.0;1.4;0.2;Iris-setosa
81;6.8;2.8;4.8;1.4;Iris-versicolor
82;5.5;2.3;4.0;1.3;Iris-versicolor
83;6.0;3.4;4.5;1.6;Iris-versicolor
84;7.0;3.2;4.7;1.4;Iris-versicolor
85;6.4;3.2;4.5;1.5;Iris-versicolor
86;6.3;3.4;5.6;2.4;Iris-virginica
87;5.1;3.8;1.9;0.4;Iris-setosa
88;6.7;3.0;5.2;2.3;Iris-virginica
89;4.8;3.0;1.4;0.1;Iris-setosa
90;6.5;2.8;4.6;1.5;Iris-versicolor
91;5.7;4.4;1.5;0.4;Iris-setosa
92;5.9;3.0;5.1;1.8;Iris-virginica
93;6.8;3.0;5.5;2.1;Iris-virginica
94;6.3;2.7;4.9;1.8;Iris-virginica
95;5.7;2.9;4.2;1.3;Iris-versicolor
96;6.4;2.9;4.3;1.3;Iris-versicolor
97;5.3;3.7;1.5;0.2;Iris-setosa
98;5.1;3.7;1.5;0.4;Iris-setosa
99;7.7;3.0;6.1;2.3;Iris-virginica
100;5.4;3.0;4.5;1.5;Iris-versicolor
101;5.1;3.3;1.7;0.5;Iris-setosa
102;6.1;3.0;4.6;1.4;Iris-versicolor
103;7.7;3.8;6.7;2.2;Iris-virginica
104;4.4;3.2;1.3;0.2;Iris-setosa
105;5.8;2.7;5.1;1.9;Iris-virginica
106;4.6;3.4;1.4;0.3;Iris-setosa
107;4.6;3.1;1.5;0.2;Iris-setosa
108;6.3;3.3;4.7;1.6;Iris-versicolor
109;5.8;2.7;4.1;1.0;Iris-versicolor
110;6.9;3.1;4.9;1.5;Iris-versicolor
111;4.3;3.0;1.1;0.1;Iris-setosa
112;6.7;2.5;5.8;1.8;Iris-virginica
113;6.1;2.9;4.7;1.4;Iris-versicolor
114;5.5;2.6;4.4;1.2;Iris-versicolor
115;5.2;3.5;1.5;0.2;Iris-setosa
116;6.2;2.8;4.8;1.8;Iris-virginica
117;7.7;2.6;6.9;2.3;Iris-virginica
118;4.9;2.5;4.5;1.7;Iris-virginica
119;5.0;2.0;3.5;1.0;Iris-versicolor
120;6.3;2.8;5.1;1.5;Iris-virginica
121;5.7;3.8;1.7;0.3;Iris-setosa
122;4.9;2.4;3.3;1.0;Iris-versicolor
123;4.5;2.3;1.3;0.3;Iris-setosa
124;6.5;3.2;5.1;2.0;Iris-virginica
125;5.0;3.4;1.5;0.2;Iris-setosa
126;5.0;3.0;1.6;0.2;Iris-setosa
127;5.1;3.8;1.5;0.3;Iris-setosa
128;5.5;2.4;3.7;1.0;Iris-versicolor
129;6.7;3.3;5.7;2.5;Iris-virginica
130;5.1;3.8;1.6;0.2;Iris-setosa
131;6.0;3.0;4.8;1.8;Iris-virginica
132;6.2;2.2;4.5;1.5;Iris-versicolor
133;4.8;3.4;1.9;0.2;Iris-setosa
134;6.8;3.2;5.9;2.3;Iris-virginica
135;6.5;3.0;5.2;2.0;Iris-virginica
136;5.8;2.6;4.0;1.2;Iris-versicolor
137;5.4;3.9;1.7;0.4;Iris-setosa
138;6.3;2.9;5.6;1.8;Iris-virginica
139;6.1;2.8;4.0;1.3;Iris-versicolor
140;5.6;3.0;4.1;1.3;Iris-versicolor
141;5.4;3.4;1.5;0.4;Iris-setosa
142;6.0;2.2;4.0;1.0;Iris-versicolor
143;5.0;3.5;1.6;0.6;Iris-setosa
144;5.8;2.8;5.1;2.4;Iris-virginica
145;6.1;2.6;5.6;1.4;Iris-virginica
146;6.4;2.7;5.3;1.9;Iris-virginica
147;6.7;3.1;5.6;2.4;Iris-virginica
148;5.6;2.5;3.9;1.1;Iris-versicolor
149;5.4;3.9;1.3;0.4;Iris-setosa
150;4.6;3.2;1.4;0.2;Iris-setosa
151;5.4;3.4;1.7;0.2;Iris-setosa
